F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,"[1.7199061528439894, 1.7199061528439894]",1,1,-,3
,-0.13601182276454382,,"[1.235324015534973, 1.2011737692979843, 0.0341502462369886]",2,2,-,3
,,,"[2.7213200169208323, 2.7213200169208323]",1,3,-,3
,,,"[5.7008363771457295, 5.7008363771457295]",1,4,-,3
,,,"[4.231520051566268, 4.231520051566268]",1,5,-,3
,,,"[2.3849998928388696, 2.3849998928388696]",1,6,-,3
,,,"[1.6829956717124277, 1.6829956717124277]",1,7,-,3
,0.39546820753009326,,"[1.353276228226765, 1.2444127286086364, 0.10886349961812863]",2,8,-,3
,,,"[3.1714764842571386, 3.1714764842571386]",1,9,-,3
,0.3096325506039656,,"[5.537895229401599, 5.081526250075638, 0.45636897932596093]",2,10,-,3
,-0.17924560644166507,,"[4.4861970437300975, 3.4238379619321075, 0.21839322829697022, 0.30424766088596866, 0.5397181926150508]",4,11,-,3
,,,"[1.7199061528439894, 1.7199061528439894]",1,1,-,5
,,,"[1.2867816967996766, 1.2867816967996766]",1,2,-,5
,,,"[2.7213200169208323, 2.7213200169208323]",1,3,-,5
,,,"[5.7008363771457295, 5.7008363771457295]",1,4,-,5
,,,"[4.231520051566268, 4.231520051566268]",1,5,-,5
,,,"[2.3849998928388696, 2.3849998928388696]",1,6,-,5
,,,"[1.6829956717124277, 1.6829956717124277]",1,7,-,5
,0.37663053734044544,,"[1.3607661536880393, 1.268465354572439, 0.09230079911560048]",2,8,-,5
,,,"[3.1714764842571386, 3.1714764842571386]",1,9,-,5
,,,"[5.553309401525073, 5.553309401525073]",1,10,-,5
,-0.00288386781051678,,"[4.528656921086561, 4.144987634167891, 0.3836692869186697]",2,11,-,5
,,,"[1.7199061528439894, 1.7199061528439894]",1,1,-,7
,,,"[1.2867816967996766, 1.2867816967996766]",1,2,-,7
,,,"[2.7213200169208323, 2.7213200169208323]",1,3,-,7
,0.1453815279196163,,"[5.6970994223523235, 1.4248784337115397, 4.272220988640784]",2,4,-,7
,0.06983424935739495,,"[4.403648399235323, 2.3566189976163363, 2.0470294016189867]",2,5,-,7
,,,"[2.3849998928388696, 2.3849998928388696]",1,6,-,7
,,,"[1.6829956717124277, 1.6829956717124277]",1,7,-,7
,0.4106079826828835,,"[1.351381978153238, 1.2285834580936486, 0.1227985200595894]",2,8,-,7
,0.456459144608022,,"[3.027036231389053, 0.18954330859956564, 2.8374929227894876]",2,9,-,7
,0.07216752957688301,,"[5.900566966171211, 2.658491639309819, 3.242075326861392]",2,10,-,7
,-0.05131796383021583,,"[4.452075671734566, 0.46746596541646707, 1.6456030639412427, 0.0721812988284809, 2.2668253435483754]",4,11,-,7
