F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,"[1.6765526452248831, 1.6765526452248831]",1.0,1,-,3
,,,"[1.0991401604266036, 1.0991401604266036]",1.0,2,-,3
,,,"[2.6686775889702923, 2.6686775889702923]",1.0,3,-,3
,,,"[5.700836377145745, 5.700836377145745]",1.0,4,-,3
,,,"[4.137184103526241, 4.137184103526241]",1.0,5,-,3
,,,"[1.5373990106597168, 1.5373990106597168]",1.0,6,-,3
,,,"[1.6260034962983676, 1.6260034962983676]",1.0,7,-,3
,,,"[1.4431191541849628, 1.4431191541849628]",1.0,8,-,3
,,,"[3.171476484257138, 3.171476484257138]",1.0,9,-,3
,,,"[5.5533094015250715, 5.5533094015250715]",1.0,10,-,3
,,,"[4.517220214089374, 4.517220214089374]",1.0,11,-,3
,,,"[1.7199061528439894, 1.7199061528439894]",1.0,1,-,5
,,,"[1.2867816967996761, 1.2867816967996761]",1.0,2,-,5
,,,"[2.7213200169208323, 2.7213200169208323]",1.0,3,-,5
,,,"[5.700836377145745, 5.700836377145745]",1.0,4,-,5
,,,"[4.231520051566269, 4.231520051566269]",1.0,5,-,5
,,,"[2.3849998928388696, 2.3849998928388696]",1.0,6,-,5
,,,"[1.6829956717124277, 1.6829956717124277]",1.0,7,-,5
,,,"[1.4431191541849628, 1.4431191541849628]",1.0,8,-,5
,,,"[3.171476484257138, 3.171476484257138]",1.0,9,-,5
,,,"[5.5533094015250715, 5.5533094015250715]",1.0,10,-,5
,,,"[4.517220214089374, 4.517220214089374]",1.0,11,-,5
,,,"[1.7199061528439894, 1.7199061528439894]",1.0,1,-,7
,,,"[1.2867816967996761, 1.2867816967996761]",1.0,2,-,7
,,,"[2.7213200169208323, 2.7213200169208323]",1.0,3,-,7
,,,"[4.940870195485556, 4.940870195485556]",1.0,4,-,7
,,,"[3.999095160843535, 3.999095160843535]",1.0,5,-,7
,,,"[1.3037946692882558, 1.3037946692882558]",1.0,6,-,7
,,,"[1.6829956717124277, 1.6829956717124277]",1.0,7,-,7
,,,"[1.4431191541849628, 1.4431191541849628]",1.0,8,-,7
,,,"[3.171476484257138, 3.171476484257138]",1.0,9,-,7
,,,"[5.5533094015250715, 5.5533094015250715]",1.0,10,-,7
,,,"[4.517220214089374, 4.517220214089374]",1.0,11,-,7
,0.3030759033331608,,"[1.6185369857523957, 0.14116243954022292, 1.4773745462121728]",2.0,1,-,3
,,,"[2.0434567058646573, 2.0434567058646573]",1.0,2,-,3
,,,"[0.2500196763929566, 0.2500196763929566]",1.0,3,-,3
,,,"[0.38520908508922447, 0.38520908508922447]",1.0,4,-,3
,,,"[0.8264645163145348, 0.8264645163145348]",1.0,5,-,3
,,,"[0.9272960193816328, 0.9272960193816328]",1.0,6,-,3
,,,"[2.3289642564547437, 2.3289642564547437]",1.0,7,-,3
